iter	RMSE
0	1.021883414
1	1.016156253
2	1.010765613
3	1.005841149
4	1.001148182
5	0.9968246816
6	0.9927402784
7	0.9890124334
8	0.9854647855
9	0.9822039094
10	0.979147212
11	0.9762421869
12	0.9736065555
13	0.9711062334
14	0.968828395
15	0.9666380791
16	0.9645753096
17	0.9627280439
18	0.9610029103
19	0.9593216626
20	0.9577865986
21	0.9563748215
22	0.9550196176
23	0.9537350003
24	0.9525209704
25	0.951430006
26	0.9503971003
27	0.9494042849
28	0.9484940964
29	0.9476203778
30	0.9468211108
31	0.9461058939
32	0.9454074662
33	0.9447659214
34	0.9441629106
35	0.9435544521
36	0.9430020757
37	0.942448472
38	0.9419597674
39	0.941516007
40	0.9410683804
41	0.9406756902
42	0.9402777831
43	0.9398858854
44	0.9395284213
45	0.9391778116
46	0.9388695135
47	0.9385459673
48	0.9382585604
49	0.9380034288
50	0.9377490428
51	0.9375135266
52	0.9372487151
53	0.9370385994
54	0.9368191237
55	0.9365960873
56	0.9363799166
57	0.936188723
58	0.9360157291
59	0.9358288533
60	0.9356827087
61	0.9355376452
62	0.9353567675
63	0.935206788
64	0.9350688263
65	0.934941086
66	0.9347946399
67	0.9346407216
68	0.9345058856
69	0.9343710635
70	0.9342476333
71	0.9341176152
72	0.9340118821
73	0.9339113274
74	0.9338311999
75	0.9336913944
76	0.9335943364
77	0.9335008649
78	0.9333837316
79	0.9332889401
80	0.9331911855
81	0.9331141747
82	0.9330267921
83	0.9329216446
84	0.9328325608
85	0.9327301153
86	0.9326655302
87	0.9325855974
88	0.9324858081
89	0.932405512
90	0.9322886582
91	0.9322338626
92	0.9321576331
93	0.9320682776
94	0.9320133792
95	0.9319558982
96	0.9318722683
97	0.931812555
98	0.9317559221
99	0.9316804055
100	0.9315911911
101	0.9315245532
102	0.9314544998
103	0.9313851977
104	0.9313212264
105	0.9312553039
106	0.9311992582
107	0.9311459506
108	0.9311018032
109	0.9310198715
110	0.9309552028
111	0.9309104241
112	0.9308671991
113	0.9308259152
114	0.9307722537
115	0.9307016757
116	0.930634719
117	0.9305863786
118	0.9305014558
119	0.9304417895
120	0.9303918248
121	0.9303096953
122	0.9302557813
123	0.9301856705
124	0.9301525203
125	0.9300840158
126	0.9300059596
127	0.9299495766
128	0.9298835881
129	0.9298470688
130	0.929799047
131	0.9297648584
132	0.9297053425
133	0.9296604349
134	0.929605218
135	0.9295178361
136	0.9294626821
137	0.9293842525
138	0.9293440987
139	0.9292831605
140	0.9292167486
141	0.9291794886
142	0.9291214141
143	0.9290664247
144	0.9290414428
145	0.9290046148
146	0.9289382574
147	0.9288728821
148	0.9288334304
149	0.9287846507
150	0.9287377709
151	0.9286814648
152	0.928642786
153	0.9285819174
154	0.9285053454
155	0.9284498881
156	0.9283934418
157	0.9283645481
158	0.9283325487
159	0.9282886198
160	0.928241406
161	0.9282056193
162	0.9281697881
163	0.928131658
164	0.9280832362
165	0.9280421683
166	0.9279875281
167	0.9279571947
168	0.9279119097
169	0.9278571256
170	0.9278265885
171	0.9277906641
172	0.9277473249
173	0.9277096138
174	0.9276735999
175	0.9276251085
176	0.9275789003
177	0.9275411732
178	0.9274856353
179	0.9274418901
180	0.9273704692
181	0.9273335654
182	0.9272703509
183	0.9272036933
184	0.9271709567
185	0.9271442951
186	0.927104233
187	0.9270645197
188	0.9269953146
189	0.9269334989
190	0.9268897943
191	0.9268291059
192	0.9267784516
193	0.9267399986
194	0.9267162304
195	0.9266609293
196	0.9265938851
197	0.9265517079
198	0.9265167141
199	0.926478945
200	0.9264539666
201	0.9264249456
202	0.9263813476
203	0.9263475108
204	0.9262906121
205	0.9262522209
206	0.9262203984
207	0.9261806294
208	0.9261509577
209	0.9260951996
210	0.9260638287
211	0.9260316518
212	0.9260069644
213	0.9259868369
214	0.9259458489
215	0.925915603
216	0.9258648407
217	0.925827119
218	0.9257964112
219	0.9257611743
220	0.9257242526
221	0.9257030974
222	0.9256614919
223	0.9256215239
224	0.9256007947
225	0.9255379426
226	0.9254926596
227	0.9254467025
228	0.925419104
229	0.9253781611
230	0.925330944
231	0.9253024336
232	0.9252758103
233	0.9252447813
234	0.9252075494
235	0.9251667581
236	0.9251242249
237	0.9250815137
238	0.9250485441
239	0.9250115499
240	0.9249820463
241	0.9249432268
242	0.9249165278
243	0.9248788752
244	0.9248343688
245	0.9247928641
246	0.9247519726
247	0.9247230053
248	0.9247061287
249	0.9246626676
250	0.9246310942
251	0.9246064959
252	0.924562055
253	0.9245508729
254	0.9245274015
255	0.9244963953
256	0.9244504331
257	0.9244075116
258	0.9243601517
259	0.9243227832
260	0.9242773524
261	0.9242424682
262	0.9242001318
263	0.9241517912
264	0.9241194422
265	0.9240804853
266	0.9240544011
267	0.9240093306
268	0.9239574101
269	0.9239269342
270	0.9239023758
271	0.9238485065
272	0.9238010624
273	0.9237611606
274	0.9237241455
275	0.9236882688
276	0.9236588299
277	0.9236338297
278	0.9236048429
279	0.923548835
280	0.9235050525
281	0.9234612909
282	0.9234292545
283	0.9233660167
284	0.9233269345
285	0.9232896127
286	0.9232427582
287	0.9231946604
288	0.9231583685
289	0.9231258831
290	0.923071766
291	0.9230423044
292	0.9230146883
293	0.9229643412
294	0.9229387461
295	0.9229121553
296	0.9228745674
297	0.9228537384
298	0.9228076648
299	0.9227761935
300	0.9227302819
301	0.9226722112
302	0.9226352998
303	0.922613715
304	0.9225818992
305	0.9225591047
306	0.9225417247
307	0.9225255961
308	0.9224976551
309	0.9224727189
310	0.9224045983
311	0.9223687946
312	0.9223130537
313	0.9222641304
314	0.9222163538
315	0.9221975318
316	0.9221671304
317	0.9221224906
318	0.9220882274
319	0.9220392971
